age,marital,housing,loan,emp_var_rate,cons_price_idx,cons_conf_idx,euribor3m,nr_employed,y
44,1.0,1.0,0,1.4,93.444,-36.1,4.963,5228.1,0
53,1.0,0.0,0,-0.1,93.2,-42.0,4.021,5195.8,0
28,2.0,1.0,0,-1.7,94.055,-39.8,0.729,4991.6,1
39,1.0,0.0,0,-1.8,93.075,-47.1,1.405,5099.1,0
55,1.0,1.0,0,-2.9,92.201,-31.4,0.869,5076.2,1
30,0.0,1.0,0,1.4,93.918,-42.7,4.961,5228.1,0
37,1.0,1.0,0,-1.8,92.893,-46.2,1.327,5099.1,0
39,0.0,1.0,0,-1.8,92.893,-46.2,1.313,5099.1,0
36,1.0,0.0,0,-2.9,92.963,-40.8,1.266,5076.2,1
27,2.0,1.0,0,-1.8,93.075,-47.1,1.41,5099.1,0
34,2.0,0.0,0,1.1,93.994,-36.4,4.864,5191.0,0
41,1.0,1.0,0,1.4,93.444,-36.1,4.964,5228.1,0
55,1.0,0.0,0,1.4,93.444,-36.1,4.965,5228.1,1
33,0.0,1.0,0,-1.8,92.893,-46.2,1.291,5099.1,0
26,1.0,0.0,1,1.4,94.465,-41.8,4.96,5228.1,0
52,1.0,1.0,0,1.4,93.918,-42.7,4.962,5228.1,0
35,1.0,0.0,0,-1.8,93.075,-47.1,1.365,5099.1,1
27,2.0,0.0,0,-0.1,93.798,-40.4,4.86,5195.8,1
28,1.0,0.0,0,1.1,93.994,-36.4,4.86,5191.0,0
26,2.0,1.0,1,1.4,93.918,-42.7,4.96,5228.1,0
41,1.0,1.0,0,-1.8,93.075,-47.1,1.405,5099.1,0
35,2.0,0.0,1,1.4,94.465,-41.8,4.967,5228.1,0
40,1.0,1.0,0,1.4,93.918,-42.7,4.963,5228.1,0
32,2.0,0.0,0,1.4,93.918,-42.7,4.968,5228.1,0
41,1.0,1.0,1,1.4,93.918,-42.7,4.962,5228.1,0
34,2.0,1.0,0,-1.8,92.893,-46.2,1.344,5099.1,0
49,0.0,1.0,1,-3.4,92.431,-26.9,0.754,5017.5,0
37,1.0,1.0,0,-1.8,93.075,-47.1,1.365,5099.1,0
35,1.0,1.0,0,-1.8,92.893,-46.2,1.313,5099.1,0
38,2.0,0.0,0,1.4,93.918,-42.7,4.961,5228.1,0
47,0.0,0.0,0,1.4,94.465,-41.8,4.961,5228.1,0
46,1.0,0.0,0,-1.8,92.893,-46.2,1.327,5099.1,0
27,1.0,1.0,0,-1.8,92.893,-46.2,1.299,5099.1,0
29,1.0,1.0,0,-2.9,92.963,-40.8,1.268,5076.2,1
32,0.0,0.0,0,1.4,93.918,-42.7,4.963,5228.1,0
36,1.0,0.0,0,-1.8,92.893,-46.2,1.334,5099.1,0
29,1.0,1.0,1,1.4,93.918,-42.7,4.96,5228.1,0
47,1.0,0.0,0,-1.8,93.075,-47.1,1.405,5099.1,0
44,1.0,1.0,0,1.4,94.465,-41.8,4.96,5228.1,0
54,1.0,1.0,1,1.4,93.444,-36.1,4.962,5228.1,0
36,1.0,0.0,0,1.1,93.994,-36.4,4.86,5191.0,0
42,1.0,1.0,0,1.1,93.994,-36.4,4.857,5191.0,0
44,1.0,0.0,0,1.4,93.918,-42.7,4.961,5228.1,0
72,0.0,1.0,0,-3.4,92.649,-30.1,0.715,5017.5,1
48,1.0,0.0,0,1.4,93.444,-36.1,4.966,5228.1,0
36,1.0,1.0,0,-0.1,93.2,-42.0,4.076,5195.8,0
35,1.0,1.0,0,1.4,93.444,-36.1,4.965,5228.1,0
43,1.0,1.0,0,-1.8,92.893,-46.2,1.354,5099.1,0
56,1.0,1.0,0,1.4,93.444,-36.1,4.967,5228.1,0
42,1.0,1.0,0,1.4,94.465,-41.8,4.959,5228.1,0
31,2.0,1.0,0,-1.8,92.893,-46.2,1.354,5099.1,0
32,1.0,0.0,0,1.4,94.465,-41.8,4.958,5228.1,0
33,1.0,1.0,1,-1.8,92.893,-46.2,1.354,5099.1,0
31,1.0,0.0,0,1.4,94.465,-41.8,4.864,5228.1,0
39,1.0,1.0,0,1.1,93.994,-36.4,4.859,5191.0,0
30,1.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,2.0,1.0,0,-1.8,92.893,-46.2,1.27,5099.1,0
24,1.0,0.0,1,1.1,93.994,-36.4,4.857,5191.0,0
38,1.0,1.0,0,1.1,93.994,-36.4,4.859,5191.0,0
26,1.0,1.0,0,1.4,94.465,-41.8,4.959,5228.1,0
41,1.0,0.0,0,1.1,93.994,-36.4,4.856,5191.0,0
34,1.0,1.0,1,-1.8,93.075,-47.1,1.405,5099.1,0
30,1.0,0.0,0,-1.8,92.843,-50.0,1.811,5099.1,1
37,1.0,1.0,0,-0.1,93.2,-42.0,4.021,5195.8,0
68,1.0,1.0,0,-2.9,92.469,-33.6,1.029,5076.2,0
31,2.0,0.0,0,1.4,93.918,-42.7,4.962,5228.1,0
48,0.0,1.0,0,-1.8,93.075,-47.1,1.365,5099.1,0
33,1.0,1.0,0,1.1,93.994,-36.4,4.857,5191.0,0
59,2.0,1.0,0,-1.8,92.893,-46.2,1.259,5099.1,0
44,1.0,1.0,0,1.1,93.994,-36.4,4.857,5191.0,0
28,2.0,1.0,0,1.4,94.465,-41.8,4.866,5228.1,0
50,1.0,0.0,0,-2.9,92.201,-31.4,0.883,5076.2,0
33,1.0,0.0,0,-0.1,93.2,-42.0,4.076,5195.8,0
45,1.0,1.0,0,1.1,93.994,-36.4,4.857,5191.0,0
40,1.0,0.0,0,1.4,93.918,-42.7,4.96,5228.1,0
45,1.0,0.0,0,1.4,93.444,-36.1,4.962,5228.1,0
43,0.0,0.0,0,1.1,93.994,-36.4,4.858,5191.0,0
54,1.0,1.0,1,1.1,93.994,-36.4,4.857,5191.0,0
53,0.0,0.0,0,1.1,93.994,-36.4,4.856,5191.0,0
35,2.0,1.0,0,1.4,93.918,-42.7,4.968,5228.1,0
30,2.0,1.0,0,1.4,93.444,-36.1,4.966,5228.1,0
25,1.0,1.0,0,1.4,94.465,-41.8,4.962,5228.1,0
35,0.0,0.0,1,1.4,93.444,-36.1,4.963,5228.1,0
54,1.0,1.0,0,-1.8,92.843,-50.0,1.56,5099.1,1
30,1.0,0.0,0,1.4,93.918,-42.7,4.96,5228.1,0
38,1.0,1.0,0,1.4,93.444,-36.1,4.963,5228.1,0
35,1.0,1.0,0,-3.4,92.431,-26.9,0.74,5017.5,0
47,1.0,1.0,0,1.1,93.994,-36.4,4.856,5191.0,0
32,2.0,1.0,0,1.4,93.918,-42.7,4.962,5228.1,0
27,1.0,1.0,0,1.1,93.994,-36.4,4.856,5191.0,0
40,1.0,1.0,-1,-0.1,93.2,-42.0,4.245,5195.8,1
31,1.0,0.0,0,1.1,93.994,-36.4,4.857,5191.0,0
42,0.0,0.0,0,-1.8,93.075,-47.1,1.405,5099.1,0
40,1.0,1.0,0,-1.8,92.893,-46.2,1.327,5099.1,0
31,2.0,1.0,0,-0.1,93.2,-42.0,4.12,5195.8,0
57,1.0,0.0,0,1.4,94.465,-41.8,4.958,5228.1,0
38,2.0,1.0,0,-1.8,93.749,-34.6,0.659,5008.7,1
39,1.0,0.0,0,1.1,93.994,-36.4,4.858,5191.0,0
37,0.0,1.0,1,1.1,93.994,-36.4,4.858,5191.0,0
50,1.0,1.0,1,1.4,93.918,-42.7,4.962,5228.1,0
33,2.0,1.0,1,-1.8,93.075,-47.1,1.365,5099.1,1
41,1.0,1.0,-1,1.4,94.465,-41.8,4.864,5228.1,0
37,1.0,1.0,-1,1.1,93.994,-36.4,4.857,5191.0,0
25,2.0,0.0,0,-1.8,93.075,-47.1,1.415,5099.1,0
35,1.0,0.0,0,1.4,93.918,-42.7,4.963,5228.1,0
46,1.0,0.0,0,1.4,93.918,-42.7,4.962,5228.1,1
29,0.0,0.0,0,1.4,94.465,-41.8,4.96,5228.1,0
35,1.0,1.0,0,1.4,93.444,-36.1,4.962,5228.1,0
48,2.0,1.0,0,-1.8,92.893,-46.2,1.334,5099.1,0
31,2.0,0.0,0,-3.4,92.431,-26.9,0.73,5017.5,0
33,0.0,0.0,1,-1.8,92.893,-46.2,1.266,5099.1,0
63,0.0,0.0,1,-2.9,92.469,-33.6,1.072,5076.2,0
38,1.0,1.0,0,-0.1,93.2,-42.0,4.153,5195.8,0
34,0.0,0.0,0,-3.4,92.649,-30.1,0.716,5017.5,0
34,0.0,0.0,0,1.4,93.918,-42.7,4.962,5228.1,0
47,1.0,1.0,0,-1.8,93.876,-40.0,0.682,5008.7,0
27,2.0,1.0,0,1.1,93.994,-36.4,4.857,5191.0,0
24,2.0,0.0,0,-1.7,94.027,-38.3,0.905,4991.6,1
36,1.0,1.0,0,-1.8,92.893,-46.2,1.281,5099.1,0
29,2.0,0.0,0,1.4,94.465,-41.8,4.958,5228.1,0
58,1.0,1.0,0,1.4,94.465,-41.8,4.865,5228.1,0
40,1.0,0.0,0,1.4,93.444,-36.1,4.968,5228.1,0
31,2.0,1.0,0,1.4,93.444,-36.1,4.962,5228.1,0
60,1.0,0.0,0,1.4,93.444,-36.1,4.963,5228.1,0
58,1.0,1.0,0,1.4,93.918,-42.7,4.961,5228.1,0
32,2.0,1.0,0,1.4,93.918,-42.7,4.961,5228.1,0
